gene_name,Bcells replicate 1 half_life,Bcells replicate 1 dataQual,Bcells replicate 1 R_sq,Bcells replicate 2 half_life,Bcells replicate 2 dataQual,Bcells replicate 2 R_sq,NK cells replicate 1 half_life,NK cells replicate 1 dataQual,NK cells replicate 1 R_sq,NK cells replicate 2 half_life,NK cells replicate 2 dataQual,NK cells replicate 2 R_sq,Hepatocytes replicate 1 half_life,Hepatocytes replicate 1 dataQual,Hepatocytes replicate 1 R_sq,Hepatocytes replicate 2 half_life,Hepatocytes replicate 2 dataQual,Hepatocytes replicate 2 R_sq,Monocytes replicate 1 half_life,Monocytes replicate 1 dataQual,Monocytes replicate 1 R_sq,Monocytes replicate 2 half_life,Monocytes replicate 2 dataQual,Monocytes replicate 2 R_sq,"Mouse Neurons, replicate 3 half_life","Mouse Neurons, replicate 3 dataQual","Mouse Neurons, replicate 3 R_sq","Mouse Neurons, replicate 4 half_life","Mouse Neurons, replicate 4 dataQual","Mouse Neurons, replicate 4 R_sq",Length
CECR1,,,,61.138000000000005,weak,0.9690000000000001,236.19400000000002,good,0.998,146.725,good,0.995,,,,,,,37.945,good,0.986,30.59,good,0.985,,,,,,,511
CECR5,162.825,good,0.9540000000000001,,,,,,,594.164,weak,0.9159999999999999,137.731,good,0.988,163.858,good,0.995,240.56099999999998,good,0.9159999999999999,160.209,weak,0.9520000000000001,,,,165.59599999999998,weak,0.904,423
CELF1,37.929,good,0.97,54.388999999999996,good,0.9990000000000001,,,,,,,37.092,good,0.997,36.881,good,0.992,49.839,weak,0.973,31.214000000000002,good,0.993,30.956999999999997,good,0.998,32.007,good,0.9990000000000001,486
CELF2,72.695,good,0.981,85.416,good,0.9940000000000001,252.21900000000002,good,0.992,236.581,good,0.9940000000000001,,,,,,,85.78299999999999,good,0.993,73.066,good,0.99,32.935,good,1.0,37.861999999999995,good,1.0,508
CENPB,,,,260.985,weak,0.961,436.906,weak,0.909,,,,,,,,,,116.19,weak,0.983,,,,,,,,,,599
CENPC,84.023,good,0.9890000000000001,94.454,good,0.996,86.411,good,0.97,69.61399999999999,good,0.995,,,,,,,41.056999999999995,weak,0.907,43.077,weak,0.988,48.721000000000004,weak,0.912,,,,943
CENPV,220.02700000000002,weak,0.898,,,,,,,,,,198.261,good,0.935,227.24099999999999,good,0.983,,,,,,,207.91400000000002,good,0.9990000000000001,240.46,good,0.991,275
CEP120,38.701,weak,0.973,61.255,good,0.996,90.829,weak,0.958,75.928,weak,0.997,,,,,,,45.724,weak,0.9890000000000001,43.513999999999996,weak,0.988,,,,19.65,weak,0.856,986
CEP131,,,,,,,,,,,,,,,,,,,,,,,,,24.787,weak,0.998,31.144000000000002,weak,0.995,1083
CEP135,,,,140.517,good,0.996,,,,,,,,,,,,,,,,,,,,,,,,,1140
CEP170,53.354,good,0.996,57.785,good,0.972,,,,,,,,,,,,,45.331,good,0.981,36.275,good,0.983,42.788000000000004,good,0.9990000000000001,56.86,good,1.0,1584
CEP192,,,,41.869,weak,0.898,,,,,,,,,,,,,,,,,,,,,,,,,2537
CEP250,91.64399999999999,good,0.971,104.29299999999999,good,0.997,,,,,,,,,,,,,79.081,good,0.94,81.95100000000001,weak,0.9690000000000001,,,,,,,2442
CEP350,40.977,weak,0.9890000000000001,41.803000000000004,weak,0.973,,,,,,,,,,,,,19.417,weak,0.9440000000000001,,,,,,,,,,3117
CEP57,33.855,weak,0.935,39.992,weak,0.99,,,,55.321999999999996,weak,0.992,,,,,,,,,,24.593000000000004,weak,0.938,,,,,,,500
CEP97,,,,33.501999999999995,weak,0.996,,,,,,,,,,,,,,,,,,,,,,51.224,weak,0.924,865
CEPT1,150.683,weak,1.0,,,,,,,91.41799999999999,weak,0.907,103.336,weak,0.9109999999999999,,,,,,,49.833999999999996,weak,0.993,,,,57.022,good,0.997,416
CERS6,,,,,,,,,,,,,46.01,weak,0.982,47.663999999999994,weak,0.986,,,,,,,36.676,good,0.9990000000000001,36.298,good,0.997,384
CES1,91.33200000000001,weak,0.99,170.9,good,0.971,,,,49.946999999999996,good,0.987,272.135,good,0.973,273.86400000000003,good,0.975,194.614,good,0.96,209.30200000000002,good,0.9229999999999999,,,,,,,61
CETN2,141.069,good,0.89,125.436,weak,0.991,,,,,,,43.669,good,0.9490000000000001,45.986000000000004,good,0.968,54.0,weak,0.996,,,,29.217,good,0.99,33.369,good,0.991,172
CETN3,,,,49.441,weak,0.998,,,,,,,,,,,,,,,,,,,,,,,,,167
CFAP20,,,,,,,,,,,,,195.248,weak,0.91,,,,,,,,,,,,,,,,193
CFDP1,,,,,,,94.057,weak,0.992,44.303999999999995,weak,0.9540000000000001,,,,,,,,,,,,,22.785,good,1.0,25.768,good,0.997,299
CFI,,,,,,,,,,,,,18.424,good,0.861,18.648,good,0.8759999999999999,,,,,,,,,,,,,583
CFL1,155.963,good,0.977,208.33700000000002,good,0.996,846.8919999999999,good,0.998,741.59,good,0.9990000000000001,101.069,good,0.982,112.306,good,0.9940000000000001,161.569,good,0.9840000000000001,135.732,good,0.977,58.812,good,1.0,64.882,good,1.0,166
CGGBP1,92.081,good,0.991,66.014,good,0.992,128.391,good,0.9990000000000001,107.18,good,0.9990000000000001,,,,,,,45.298,weak,0.9890000000000001,,,,15.535,good,0.978,19.046,good,0.981,167
CHAMP1,82.64399999999999,good,0.993,93.835,good,0.997,,,,,,,25.375999999999998,weak,0.9690000000000001,24.719,good,0.977,49.99100000000001,good,0.9790000000000001,36.573,weak,0.998,26.201999999999998,good,0.9990000000000001,28.131,good,0.9990000000000001,812
CHCHD3,332.973,good,0.981,417.341,good,0.998,930.6519999999999,good,0.9109999999999999,684.232,weak,0.997,229.416,good,1.0,221.97299999999998,good,0.997,226.18200000000002,good,0.9940000000000001,152.00799999999998,good,0.943,106.837,good,0.998,122.846,good,1.0,227
CHCHD6,172.295,weak,0.9009999999999999,,,,,,,,,,163.006,good,0.987,,,,,,,,,,69.90899999999999,good,0.986,68.08,good,0.9940000000000001,235
CHCHD7,96.76299999999999,weak,0.995,,,,,,,,,,,,,,,,,,,,,,,,,,,,85
CHD1,32.343,weak,0.9490000000000001,31.365,weak,1.0,52.456,weak,0.998,47.589,weak,0.995,,,,,,,50.227,weak,0.99,33.171,weak,0.9940000000000001,,,,28.302,weak,0.993,1710
CHD1L,68.226,good,0.9259999999999999,76.038,good,0.9840000000000001,,,,,,,,,,,,,,,,,,,,,,,,,897
CHD2,60.571999999999996,good,0.9890000000000001,63.53,good,0.996,77.949,good,0.993,70.367,good,0.997,27.311,good,0.988,25.574,good,0.996,47.045,weak,0.987,40.071,good,0.9890000000000001,32.35,good,0.983,32.619,good,0.993,1828
CHD3,60.68600000000001,weak,0.991,53.36,weak,0.982,,,,137.736,good,0.9109999999999999,,,,21.752,weak,0.993,107.734,weak,0.888,,,,34.121,good,1.0,38.403,good,0.998,2000
CHD4,48.37,good,0.988,52.11,good,0.997,119.79899999999999,good,0.9990000000000001,107.18799999999999,good,0.9990000000000001,22.706,good,0.9990000000000001,23.489,good,0.998,44.144,good,0.99,36.705,good,0.995,47.748000000000005,good,0.997,59.643,good,0.998,1912
CHD8,24.298000000000002,weak,0.986,20.413,weak,0.986,,,,,,,,,,,,,25.873,weak,0.968,19.325,weak,0.986,21.497,weak,0.898,,,,2581
CHERP,82.36,good,0.986,86.353,good,0.998,205.517,good,0.997,156.079,good,0.9940000000000001,50.799,good,0.9690000000000001,44.372,good,0.9740000000000001,,,,61.01,weak,0.972,55.229,good,1.0,64.148,good,0.9940000000000001,916
CHID1,,,,285.475,good,0.968,,,,356.527,weak,0.971,113.53399999999999,good,0.966,98.949,good,0.985,146.80200000000002,good,0.97,94.569,weak,0.965,81.547,weak,0.966,111.052,good,0.986,393
CHKB,170.264,weak,0.907,,,,,,,141.346,weak,0.878,,,,,,,181.56099999999998,weak,0.9620000000000001,,,,,,,60.628,weak,0.927,395
CHM,,,,73.432,weak,0.995,,,,,,,,,,,,,,,,,,,,,,42.501000000000005,good,0.93,653
CHMP1A,78.95,weak,0.97,89.194,good,0.9840000000000001,131.215,weak,0.9159999999999999,122.93700000000001,weak,0.9470000000000001,51.115,weak,0.995,48.39,good,0.9890000000000001,,,,45.743,good,0.977,40.446,weak,0.995,45.305,good,1.0,196
CHMP1B,188.16400000000002,weak,0.982,188.456,weak,0.996,164.88,good,0.997,132.583,weak,0.9990000000000001,70.26,weak,0.892,,,,,,,75.105,good,0.993,,,,,,,199
CHMP2A,64.804,good,0.992,76.941,good,0.996,169.97400000000002,good,0.981,162.495,good,0.997,108.471,good,0.991,102.515,good,1.0,45.475,good,0.981,41.038999999999994,good,0.9840000000000001,42.946000000000005,good,0.985,52.108999999999995,good,0.998,222
CHMP2B,77.613,good,0.975,84.916,good,0.993,102.713,good,0.9840000000000001,90.381,good,0.998,,,,56.465,weak,0.968,37.819,weak,0.992,37.045,good,0.986,26.631,good,0.997,26.826999999999998,good,0.997,213
CHMP3,,,,88.38600000000001,good,0.99,,,,11.209000000000001,weak,0.951,34.027,weak,0.987,,,,38.027,weak,0.98,33.378,weak,0.997,48.63,good,0.997,51.784,good,0.9990000000000001,222
CHMP4A,63.769,good,0.993,77.79899999999999,good,0.996,181.47099999999998,weak,0.995,132.68,good,0.997,74.306,good,0.997,77.31,good,0.997,42.64,weak,0.9990000000000001,37.847,good,0.992,,,,,,,222
CHMP4B,62.177,good,0.993,68.82300000000001,good,0.997,127.836,good,0.988,116.057,good,0.99,48.193000000000005,good,0.998,48.532,good,0.993,48.858999999999995,good,0.992,43.298,good,0.992,40.133,good,0.998,41.226000000000006,good,0.9990000000000001,224
CHMP5,106.82600000000001,weak,0.9390000000000001,78.613,weak,0.993,178.363,weak,0.9990000000000001,135.411,weak,0.993,76.839,weak,0.9990000000000001,67.502,weak,0.9940000000000001,55.049,weak,0.978,46.755,weak,0.972,53.115,good,0.9990000000000001,67.78699999999999,good,0.997,219
CHMP6,,,,,,,,,,,,,63.358999999999995,good,0.993,79.358,good,0.987,96.445,weak,0.9940000000000001,79.132,weak,0.991,62.876999999999995,weak,0.9990000000000001,80.041,good,0.9990000000000001,201
CHMP7,76.013,weak,0.995,67.14699999999999,weak,0.998,62.619,weak,0.996,59.24100000000001,weak,0.9990000000000001,,,,,,,55.526,weak,0.9420000000000001,,,,32.446,good,1.0,36.96,good,0.9990000000000001,453
CHN1,,,,,,,,,,,,,,,,,,,,,,,,,56.193999999999996,weak,0.9940000000000001,61.591,good,0.9840000000000001,459
CHP1,55.532,weak,0.9309999999999999,82.811,weak,0.94,,,,,,,56.263999999999996,good,0.996,55.068999999999996,good,0.992,73.935,good,0.985,50.349,good,0.982,36.124,good,0.986,34.515,good,0.991,195
CHPT1,,,,,,,127.133,weak,0.919,,,,,,,51.744,weak,0.9990000000000001,,,,,,,,,,,,,406
CHRAC1,59.081,weak,0.993,55.394,weak,0.996,,,,,,,100.64399999999999,weak,0.98,71.043,weak,0.991,,,,65.515,weak,0.971,,,,,,,131
CHST14,,,,,,,,,,,,,,,,17.924,weak,0.94,36.645,weak,0.9940000000000001,15.619000000000002,weak,0.9690000000000001,,,,,,,376
CHTF8,,,,,,,165.507,good,0.9940000000000001,152.187,weak,0.976,,,,,,,,,,,,,,,,,,,121
CHTOP,82.338,good,0.993,96.69,good,0.998,241.75,weak,0.975,193.55599999999998,good,0.998,42.092,good,0.9990000000000001,50.074,good,0.977,62.24100000000001,weak,0.975,52.06100000000001,weak,0.9940000000000001,47.258,good,1.0,46.536,good,0.9990000000000001,248
CHUK,,,,88.288,weak,0.9990000000000001,250.998,good,0.915,167.442,good,0.9840000000000001,,,,,,,74.472,good,0.997,59.028,weak,0.986,,,,60.005,weak,0.9129999999999999,745
CHURC1,,,,26.259,weak,0.997,,,,,,,,,,,,,26.138,weak,0.9740000000000001,24.983,weak,0.9740000000000001,,,,,,,139
CIAO1,60.173,good,0.988,56.651,weak,0.965,68.803,weak,0.986,55.141999999999996,weak,0.9990000000000001,208.456,weak,0.953,,,,57.286,weak,0.992,47.651,good,0.99,34.85,weak,0.996,38.793,good,0.983,339
CIAPIN1,40.363,good,0.983,54.658,good,0.9940000000000001,173.34599999999998,weak,0.995,139.588,weak,0.9890000000000001,,,,,,,75.985,good,0.997,59.367,good,0.981,42.593,good,0.997,48.981,good,1.0,312
CIC,36.007,weak,0.9990000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,1608
CIR1,,,,34.525,weak,1.0,,,,35.799,weak,0.958,,,,,,,,,,,,,,,,,,,450
CIRBP,58.055,weak,0.9309999999999999,78.626,good,0.993,,,,175.453,weak,0.996,29.234,good,0.9470000000000001,26.875999999999998,good,0.95,,,,,,,63.8,good,0.9990000000000001,74.365,good,0.9990000000000001,172
CISD1,,,,469.51800000000003,weak,0.96,,,,,,,128.743,good,0.996,120.87299999999999,good,1.0,,,,162.861,weak,0.919,70.212,good,0.992,78.727,good,0.997,108
CISD2,174.613,weak,0.981,169.28400000000002,weak,0.988,590.797,weak,0.9690000000000001,391.825,weak,0.925,142.385,good,0.998,142.59799999999998,good,0.9990000000000001,74.721,weak,0.988,53.732,weak,0.99,68.683,weak,0.975,93.366,good,0.935,135
CISD3,,,,,,,,,,,,,167.78099999999998,good,1.0,189.34900000000002,good,0.996,,,,,,,,,,88.61200000000001,weak,0.982,127
CIZ1,26.331,weak,0.977,26.000999999999998,weak,0.991,45.601000000000006,weak,0.99,44.677,good,0.998,,,,,,,22.358,weak,0.9109999999999999,,,,25.358,good,0.993,29.859,good,0.9940000000000001,898
CKAP4,171.553,good,0.991,212.753,good,0.9990000000000001,,,,,,,124.25299999999999,good,1.0,116.542,good,0.998,488.267,good,0.9840000000000001,369.705,good,0.981,125.536,good,1.0,144.203,good,1.0,602
CKAP5,44.838,good,0.991,58.324,good,0.998,128.491,good,0.98,120.82799999999999,good,1.0,50.971000000000004,good,0.998,51.247,good,0.9940000000000001,69.692,good,0.988,46.306000000000004,good,0.992,29.128,good,1.0,32.929,good,1.0,2032
CLASP2,53.982,good,0.987,61.133,good,0.997,,,,,,,53.691,weak,1.0,50.083999999999996,weak,0.996,45.034,good,0.993,38.794000000000004,good,0.963,33.416,good,1.0,43.836000000000006,good,1.0,1294
CLASRP,224.389,weak,0.8740000000000001,,,,,,,,,,,,,,,,,,,,,,79.73,weak,0.887,149.774,weak,0.914,674
CLC,,,,,,,,,,23365.537,weak,0.935,,,,,,,,,,,,,,,,,,,142
CLC,,,,,,,,,,23365.537,weak,0.935,,,,,,,,,,,,,,,,,,,225
CLCC1,,,,,,,,,,,,,71.009,good,0.9359999999999999,42.798,good,0.9990000000000001,58.301,weak,0.9940000000000001,31.644000000000002,weak,0.993,76.197,weak,0.975,85.07600000000001,weak,0.961,551
CLCN7,76.733,weak,0.9890000000000001,,,,116.785,weak,0.997,89.639,weak,0.9940000000000001,89.402,good,0.981,58.446999999999996,good,0.997,46.028999999999996,good,0.991,39.356,good,0.9890000000000001,,,,59.501999999999995,good,0.993,805
CLEC16A,,,,,,,,,,,,,28.309,weak,0.9279999999999999,27.266,weak,0.894,57.339,weak,0.985,,,,,,,25.648000000000003,weak,0.997,1053
CLIC1,193.83700000000002,good,0.9840000000000001,221.843,good,0.996,869.184,good,0.998,624.626,good,0.99,177.00799999999998,good,0.99,180.82,good,1.0,133.71,good,0.986,103.48299999999999,good,0.988,161.931,weak,0.987,145.37,good,0.977,241
CLIC3,29.995,weak,0.872,31.881,weak,0.9590000000000001,103.02799999999999,good,0.9890000000000001,111.03399999999999,good,1.0,,,,,,,,,,,,,,,,,,,236
CLIC4,85.1,good,0.988,80.76100000000001,weak,0.9990000000000001,,,,,,,91.04700000000001,good,0.919,96.294,good,0.92,86.2,good,0.9640000000000001,50.312,good,0.982,54.312,good,0.998,61.193999999999996,good,0.9940000000000001,253
CLINT1,62.913999999999994,good,0.98,67.868,good,0.99,99.64200000000001,good,0.9990000000000001,87.20700000000001,good,0.998,38.175,good,0.997,45.826,good,0.9890000000000001,85.309,good,0.996,68.014,good,0.986,52.348,good,1.0,60.754,good,0.9990000000000001,625
CLIP1,49.226000000000006,good,0.9940000000000001,52.902,good,1.0,84.93700000000001,good,0.9740000000000001,74.745,good,0.998,41.023999999999994,good,0.997,38.95,weak,0.998,48.218,good,0.988,44.111000000000004,good,0.995,32.486999999999995,good,0.9990000000000001,40.663000000000004,good,1.0,1438
CLIP2,46.352,good,0.879,64.584,good,0.9940000000000001,,,,,,,,,,,,,74.679,good,0.9079999999999999,48.129,good,0.9670000000000001,37.086,good,0.998,48.778,good,0.998,1046
CLIP4,,,,,,,,,,,,,,,,,,,,,,,,,31.815,weak,0.9690000000000001,31.638,weak,0.995,705
CLK1,,,,,,,,,,18.452,weak,0.929,,,,,,,,,,,,,,,,,,,484
CLK3,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.9,weak,0.987,638
CLMN,,,,,,,,,,,,,58.986000000000004,good,0.9940000000000001,56.793,good,0.996,52.218,weak,0.993,44.192,weak,0.977,,,,,,,1002
CLN5,,,,,,,,,,,,,24.44,weak,0.996,26.912,weak,0.9670000000000001,,,,,,,,,,,,,358
CLN6,,,,,,,,,,,,,265.014,weak,0.91,,,,53.73,weak,0.9690000000000001,51.728,weak,0.93,,,,,,,311
CLP1,68.725,weak,0.985,88.139,weak,0.9,,,,136.136,weak,0.915,,,,,,,57.95,weak,0.948,43.718,weak,0.988,,,,,,,425
CLPB,60.526,weak,0.96,,,,,,,,,,,,,,,,,,,,,,40.633,good,0.995,41.051,good,0.998,707
CLPP,167.365,good,0.965,,,,,,,515.059,weak,0.955,110.20100000000001,good,0.9990000000000001,109.209,good,0.9940000000000001,196.47,weak,0.958,171.958,weak,0.971,123.374,good,0.996,142.356,good,0.9990000000000001,277
CLPTM1,,,,41.75,weak,0.94,59.218999999999994,weak,0.983,44.093999999999994,good,0.992,49.613,good,0.997,58.271,good,0.986,23.359,good,0.981,17.813,good,0.992,30.301,good,0.992,32.704,good,0.993,669
CLPTM1L,66.35,weak,0.935,,,,,,,154.787,weak,1.0,57.331,weak,0.848,67.056,good,0.855,,,,,,,,,,61.192,weak,0.914,538
CLPX,17.070999999999998,good,0.996,20.541,weak,1.0,,,,,,,31.473000000000003,good,0.9990000000000001,32.516,good,0.9940000000000001,26.328000000000003,good,0.992,23.055999999999997,good,0.997,39.546,good,0.997,41.745,good,0.9990000000000001,633
CLTA,63.607,good,0.987,92.139,weak,0.995,169.84599999999998,weak,0.915,163.925,weak,0.9940000000000001,40.986000000000004,good,0.988,38.275,good,0.97,62.343,good,0.988,49.756,good,0.988,45.995,good,0.9990000000000001,60.948,good,1.0,248
CLTB,142.52200000000002,weak,0.99,,,,397.18699999999995,weak,0.9840000000000001,351.86699999999996,weak,0.973,47.637,good,0.998,40.54,good,0.9990000000000001,104.27799999999999,weak,0.99,96.096,weak,0.995,47.75,good,0.9990000000000001,62.773999999999994,good,0.9990000000000001,229
CLTC,109.185,good,0.978,145.725,good,0.998,491.69300000000004,good,0.995,383.74199999999996,good,0.9990000000000001,71.50399999999999,good,1.0,72.123,good,0.993,108.249,good,0.978,87.625,good,0.978,66.232,good,1.0,78.41,good,1.0,1675
CLU,,,,,,,102.973,weak,0.9179999999999999,107.565,weak,0.902,58.348,good,1.0,57.15,good,1.0,,,,,,,42.412,good,0.982,47.365,good,0.977,449
CLUH,13.408,weak,0.997,13.53,good,0.998,,,,,,,57.555,good,0.9790000000000001,,,,19.151,good,0.995,15.932,good,0.992,29.679000000000002,good,0.996,38.760999999999996,good,0.997,1309
CLYBL,426.705,weak,0.9790000000000001,719.1089999999999,weak,0.885,690.3689999999999,weak,0.887,,,,,,,308.233,good,0.99,243.02700000000002,weak,0.927,,,,108.90899999999999,weak,0.98,122.10700000000001,good,0.996,340
CMAS,,,,203.618,good,0.8859999999999999,,,,1041.292,weak,0.9129999999999999,110.542,good,0.996,113.27600000000001,good,0.997,128.116,weak,0.9940000000000001,124.774,weak,0.945,67.042,good,1.0,76.253,good,0.998,434
CMC1,75.03,weak,0.983,66.777,weak,0.996,,,,216.975,weak,0.914,69.422,good,0.998,68.295,good,0.9940000000000001,,,,78.753,weak,0.948,98.598,weak,0.9840000000000001,81.399,good,0.997,106
CMC4,,,,,,,,,,,,,184.69400000000002,weak,0.9620000000000001,,,,,,,,,,,,,,,,68
CMPK1,152.94799999999998,good,0.966,164.732,weak,0.996,430.87800000000004,weak,0.9990000000000001,378.69199999999995,weak,0.995,,,,882.0260000000001,weak,0.986,125.259,good,0.987,105.458,good,0.981,69.79899999999999,good,0.997,79.027,good,0.9990000000000001,196
CMPK2,,,,19.361,weak,0.867,71.301,weak,0.892,,,,,,,,,,233.09900000000002,weak,0.997,,,,49.802,weak,0.9840000000000001,75.157,good,0.998,449
CMSS1,100.586,weak,0.9229999999999999,89.132,weak,0.997,,,,,,,,,,38.848,weak,0.9440000000000001,,,,,,,,,,62.821999999999996,weak,0.98,279
CMTR1,75.105,weak,0.975,80.167,good,0.997,167.699,weak,0.9259999999999999,151.44899999999998,weak,0.98,,,,,,,45.132,weak,0.975,,,,39.506,weak,0.961,56.346000000000004,good,0.998,835
CNBP,32.49,good,0.9940000000000001,34.013000000000005,weak,1.0,63.772,weak,0.922,,,,42.495,good,0.995,45.586999999999996,good,0.9940000000000001,,,,25.316999999999997,good,0.996,34.317,good,0.998,41.043,good,0.9990000000000001,177
CNDP2,170.489,good,0.977,215.854,good,0.998,,,,314.99,good,1.0,217.78099999999998,good,0.976,231.081,good,0.9590000000000001,67.77600000000001,good,0.992,50.49100000000001,good,0.993,72.37,good,0.9990000000000001,83.54799999999999,good,0.998,475
CNEP1R1,,,,,,,,,,,,,,,,,,,74.256,weak,0.988,51.754,weak,0.968,44.425,weak,0.9890000000000001,,,,125
CNN2,97.17399999999999,good,0.986,141.045,good,0.993,284.111,good,0.9990000000000001,296.982,good,0.997,65.387,good,0.977,62.232,good,0.992,121.37899999999999,good,0.988,81.613,good,0.99,,,,,,,309
CNN3,,,,37.164,weak,1.0,,,,,,,25.596999999999998,good,0.996,26.288,good,0.9940000000000001,,,,,,,29.616999999999997,good,0.998,36.891,good,0.9990000000000001,329
CNNM3,48.481,weak,0.996,51.595,weak,0.997,46.181000000000004,weak,0.991,48.925,weak,0.985,77.304,weak,0.9520000000000001,73.50399999999999,weak,0.895,37.345,weak,0.941,34.723,weak,0.94,31.991999999999997,weak,0.992,47.528999999999996,weak,0.995,707
CNNM4,74.602,weak,0.9129999999999999,,,,,,,,,,101.79,weak,0.919,97.20200000000001,weak,0.998,,,,37.594,weak,0.978,,,,,,,775
CNOT1,51.43,good,0.987,59.787,good,0.9990000000000001,133.689,good,0.998,120.663,good,0.997,63.233999999999995,good,0.996,64.15100000000001,good,0.986,72.11,good,0.9940000000000001,58.847,good,0.99,61.558,good,0.993,64.025,good,0.9990000000000001,2376
CNOT10,,,,90.86200000000001,weak,0.972,238.322,weak,0.866,147.774,weak,0.973,,,,66.491,weak,0.985,115.23,weak,0.945,104.60700000000001,weak,0.992,67.258,good,0.981,89.883,good,0.993,744
CNOT11,,,,,,,183.998,weak,0.9640000000000001,,,,55.038000000000004,weak,0.87,56.631,weak,0.887,,,,78.264,weak,0.993,82.585,weak,0.9790000000000001,,,,510
CNOT2,47.553000000000004,weak,0.995,64.209,weak,0.9590000000000001,30.928,weak,0.858,,,,,,,51.035,weak,0.894,43.386,weak,0.9940000000000001,44.918,weak,0.935,58.148999999999994,good,0.997,51.826,good,0.99,540
CNOT3,63.65,good,0.996,75.25,weak,0.995,156.011,weak,0.9740000000000001,116.655,good,0.9129999999999999,63.873000000000005,weak,0.888,,,,83.876,weak,0.958,56.849,weak,0.98,58.431999999999995,good,0.996,66.594,good,1.0,753
CNOT4,,,,,,,,,,,,,,,,,,,,,,,,,20.188,good,0.9940000000000001,21.299,weak,0.991,575
CNOT6L,40.451,weak,0.9740000000000001,,,,,,,,,,,,,,,,37.211,good,0.981,34.981,weak,0.988,,,,,,,555
CNOT7,61.266000000000005,weak,0.917,63.224,weak,0.993,142.969,weak,0.938,,,,52.74,weak,0.98,92.389,weak,0.9109999999999999,96.851,weak,0.97,,,,44.23,weak,0.99,51.553000000000004,good,0.997,285
CNP,88.539,weak,0.9670000000000001,,,,196.051,good,0.9690000000000001,91.898,good,0.966,70.92399999999999,good,0.9990000000000001,74.447,good,0.998,84.85600000000001,good,0.993,64.071,good,0.9470000000000001,,,,58.25899999999999,good,0.992,421
CNPY2,142.59,good,0.992,,,,,,,,,,206.005,good,0.9670000000000001,139.334,good,0.982,,,,112.171,good,0.997,63.85,good,0.9990000000000001,85.215,good,0.997,182
CNPY3,135.298,good,0.9690000000000001,122.694,good,0.98,269.189,weak,0.945,119.57700000000001,weak,0.889,138.756,good,0.9740000000000001,117.915,good,0.934,146.998,good,0.985,108.759,weak,0.976,,,,55.983000000000004,good,0.99,278
CNPY4,,,,213.12400000000002,weak,0.8959999999999999,281.298,weak,0.9740000000000001,189.33900000000003,weak,1.0,,,,230.468,weak,0.9079999999999999,,,,,,,72.01,weak,0.978,94.28299999999999,good,0.995,248
CNST,,,,104.682,weak,0.997,,,,,,,,,,74.586,weak,0.9109999999999999,,,,,,,,,,,,,725
CNTRL,82.46700000000001,good,0.96,62.38,good,0.981,,,,130.6,good,0.9690000000000001,,,,,,,79.058,weak,0.9590000000000001,,,,,,,,,,2325
CNTROB,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.602,weak,0.9840000000000001,903
COA3,132.276,weak,0.9570000000000001,151.692,weak,0.8959999999999999,127.84299999999999,weak,0.861,126.169,weak,0.963,91.31,good,0.9940000000000001,95.556,good,0.99,95.18,weak,0.932,87.485,weak,0.94,39.405,weak,0.998,37.273,weak,0.9890000000000001,106
COA6,75.48,weak,0.9129999999999999,101.455,weak,0.977,,,,,,,96.932,good,0.9940000000000001,84.91799999999999,good,0.956,,,,,,,,,,,,,125
COASY,102.486,weak,0.953,,,,333.94599999999997,good,0.985,256.483,good,0.9990000000000001,,,,,,,138.202,good,0.998,117.05799999999999,good,0.98,72.072,good,0.995,88.601,good,0.9990000000000001,564
COBLL1,69.72800000000001,good,1.0,79.072,good,0.996,,,,,,,71.488,good,0.89,77.842,good,0.856,,,,,,,,,,,,,1128
COG1,,,,,,,,,,108.869,weak,0.951,69.46300000000001,good,0.997,,,,,,,,,,42.519,good,0.9940000000000001,,,,980
COG2,,,,61.251000000000005,weak,0.977,,,,132.903,weak,0.9159999999999999,76.627,good,1.0,69.503,good,0.9990000000000001,69.695,weak,0.946,53.463,good,0.9940000000000001,68.707,weak,0.996,63.653999999999996,weak,0.92,738
COG3,,,,71.101,weak,0.976,,,,93.046,weak,0.961,85.76299999999999,weak,0.9440000000000001,60.266000000000005,weak,0.915,68.611,weak,0.988,39.875,weak,0.9470000000000001,,,,74.887,good,0.9390000000000001,828
COG4,48.097,weak,0.973,58.583999999999996,weak,0.996,,,,,,,79.525,good,0.9209999999999999,70.696,weak,0.9790000000000001,58.11,good,0.981,48.25899999999999,weak,0.995,34.351,weak,0.946,63.201,weak,0.9329999999999999,785
COG5,51.693000000000005,weak,0.9540000000000001,62.52,weak,0.975,,,,77.625,weak,0.986,94.006,good,0.941,89.727,weak,0.998,,,,,,,57.663000000000004,weak,0.987,59.663000000000004,weak,0.995,839
COG6,56.041000000000004,weak,0.986,,,,,,,86.493,weak,0.965,72.331,weak,0.997,,,,76.165,weak,0.9840000000000001,51.28,weak,0.997,47.353,weak,0.973,55.86600000000001,good,0.975,657
COG7,50.955,weak,0.9129999999999999,66.29,weak,0.9309999999999999,,,,152.812,weak,0.97,,,,68.711,weak,0.997,79.876,weak,0.9329999999999999,,,,47.461999999999996,good,0.977,53.352,good,0.958,770
